InvoiceNo,SKU,Quantity,InvoiceDate,Country
548740,22089,6,16/04/2021,13319_Australia
548780,21259,2,16/04/2021,13294_Australia
548864,22619,1,16/04/2021,15756_Australia
548909,21232,72,17/04/2021,12779_Australia
549059,84086B,2,18/04/2021,15529_Australia
549101,84849B,1,18/04/2021,14606_Australia
549153,22858,6,18/04/2021,13771_Australia
549235,23077,20,19/04/2021,15530_Australia
549294,22637,1,19/04/2021,13230_Australia
549425,23009,1,20/04/2021,14030_Australia
549542,84997A,4,22/04/2021,15311_Australia
549561,21135,24,22/04/2021,13570_Australia
549569,21259,1,22/04/2021,15547_Australia
549575,21135,5,22/04/2021,13956_Australia
549916,22693,24,25/04/2021,13717_Australia
550033,22663,2,26/04/2021,15005_Australia
550124,22794,2,26/04/2021,12853_Australia
550126,23077,40,26/04/2021,12853_Australia
550158,21340,2,26/04/2021,13989_Australia
550196,21232,20,27/04/2021,14796_Australia
550255,22794,6,27/04/2021,13468_Australia
550329,22693,24,29/04/2021,13951_Australia
550332,21380,2,29/04/2021,13474_Australia
550342,22619,4,29/04/2021,13018_Australia
550525,23077,20,01/05/2021,14672_Australia
550712,21577,6,02/05/2021,15159_Australia
550890,84673B,1,03/05/2021,14711_Australia
550906,37340,48,03/05/2021,14298_Australia
551292,23077,60,09/05/2021,14298_Australia
551616,22693,24,15/05/2021,15048_Australia
551727,22794,2,16/05/2021,14245_Australia
551994,23077,20,17/05/2021,12868_Australia
552033,22693,24,17/05/2021,14776_Australia
552039,84536B,32,18/05/2021,13081_Australia
552039,22637,12,18/05/2021,13081_Australia
552042,21232,12,18/05/2021,13952_Australia
552046,84536B,16,18/05/2021,15235_Australia
552184,21232,12,18/05/2021,13741_Australia
552198,21664,4,18/05/2021,15552_Australia
552291,22089,6,20/05/2021,15421_Australia
552544,23077,20,22/05/2021,13320_Australia
552547,23175,6,22/05/2021,13098_Australia
552574,84997A,5,22/05/2021,15311_Australia
552710,23175,6,23/05/2021,13098_Australia
552826,21672,12,23/05/2021,14277_Australia
552843,17084N,25,23/05/2021,14649_Australia
553074,84086B,2,25/05/2021,15529_Australia
553134,23126,2,25/05/2021,15382_Australia
553158,21232,12,25/05/2021,14194_Australia
553158,21259,2,25/05/2021,14194_Australia
553198,22089,6,27/05/2021,13752_Australia
553356,21232,12,28/05/2021,14038_Australia
553417,23175,6,29/05/2021,13871_Australia
553505,21232,12,29/05/2021,12949_Australia
553576,20719,20,30/05/2021,14282_Australia
553668,23175,6,30/05/2021,13993_Australia
553834,23175,8,31/05/2021,15189_Australia
554016,22089,4,01/06/2021,13243_Australia
554098,17084N,25,03/06/2021,14769_Australia
554108,23077,20,03/06/2021,13668_Australia
554151,22619,3,04/06/2021,14049_Australia
554268,20719,1,04/06/2021,15311_Australia
554348,21232,12,05/06/2021,13523_Australia
554663,22633,1,06/06/2021,14985_Australia
554666,22663,10,06/06/2021,13599_Australia
554669,20719,10,06/06/2021,15203_Australia
554839,22089,2,07/06/2021,14056_Australia
555401,22795,17,14/06/2021,14088_Australia
555493,21135,16,15/06/2021,13695_Australia
555501,23175,4,15/06/2021,15508_Australia
555509,21331,4,15/06/2021,13435_Australia
555522,22795,4,17/06/2021,15796_Australia
555564,20719,10,17/06/2021,15005_Australia
555647,23175,6,18/06/2021,12957_Australia
555648,22795,1,18/06/2021,14623_Australia
555650,22795,2,18/06/2021,14156_Australia
555746,21272,1,19/06/2021,14606_Australia
555746,21232,1,19/06/2021,14606_Australia
555896,22089,12,19/06/2021,15640_Australia
556106,23236C,2,20/06/2021,14056_Australia
556111,20719,10,21/06/2021,13004_Australia
556282,17014A,12,22/06/2021,15679_Australia
556441,21781,1,22/06/2021,14415_Australia
556461,21232,72,24/06/2021,13798_Australia
556483,22795,1,24/06/2021,14823_Australia
556500,23175,4,25/06/2021,13468_Australia
556503,21577,6,25/06/2021,13517_Australia
556682,84536B,16,26/06/2021,15358_Australia
556734,23175,4,26/06/2021,13476_Australia
556790,23236C,6,26/06/2021,15656_Australia
557040,23236C,6,28/06/2021,14243_Australia
557117,23236C,6,28/06/2021,14849_Australia
557153,23175,4,29/06/2021,13735_Australia
557222,21115,2,29/06/2021,14936_Australia
557270,21380,4,01/07/2021,14162_Australia
557464,46000M,24,02/07/2021,15301_Australia
557469,21364,1,02/07/2021,12904_Australia
557571,22693,576,03/07/2021,12830_Australia
557577,21232,1,03/07/2021,14606_Australia
557604,21340,1,03/07/2021,15039_Australia
557626,23009,3,03/07/2021,14175_Australia
557628,20719,100,03/07/2021,15311_Australia
557745,23077,20,04/07/2021,15750_Australia
557957,23236C,3,05/07/2021,13969_Australia
557963,21672,12,06/07/2021,13709_Australia
558067,20719,10,06/07/2021,14156_Australia
558197,22231,24,09/07/2021,14298_Australia
558420,22663,4,11/07/2021,14577_Australia
558501,23242,6,12/07/2021,13871_Australia
558538,21232,4,12/07/2021,15005_Australia
558555,22693,24,12/07/2021,15578_Australia
558564,23077,20,12/07/2021,14057_Australia
558567,46000M,36,12/07/2021,14191_Australia
558621,46138B,10,12/07/2021,13745_Australia
559000,22693,24,17/07/2021,14099_Australia
559016,23175,8,17/07/2021,14051_Australia
559107,21232,1,18/07/2021,15334_Australia
559155,84926F,24,18/07/2021,13418_Australia
559302,84997A,2,19/07/2021,14527_Australia
559322,84997A,72,19/07/2021,15769_Australia
559546,23077,80,22/07/2021,14163_Australia
559546,22619,6,22/07/2021,14163_Australia
559836,21340,1,25/07/2021,13911_Australia
559876,84536B,2,25/07/2021,15752_Australia
559876,20719,1,25/07/2021,15752_Australia
559894,22231,1,25/07/2021,14159_Australia
559929,46000M,18,26/07/2021,14265_Australia
559937,20719,10,26/07/2021,13577_Australia
559979,10125,20,26/07/2021,14862_Australia
560024,37340,2,26/07/2021,15005_Australia
560024,21232,4,26/07/2021,15005_Australia
560024,20719,10,26/07/2021,15005_Australia
560239,22619,4,29/07/2021,13507_Australia
560422,22663,10,30/07/2021,16746_Australia
560445,22637,72,31/07/2021,14156_Australia
560580,21340,4,31/07/2021,14088_Australia
560732,23236C,4,01/08/2021,14056_Australia
560828,22231,24,02/08/2021,14298_Australia
560828,16054,72,02/08/2021,14298_Australia
560841,23323,12,02/08/2021,14298_Australia
561004,23175,8,03/08/2021,15189_Australia
561085,22663,10,06/08/2021,14367_Australia
561430,22141,6,08/08/2021,15172_Australia
561693,22619,4,10/08/2021,15120_Australia
562101,23236C,6,14/08/2021,13850_Australia
562339,20719,3,16/08/2021,13571_Australia
562347,23236C,1,16/08/2021,13263_Australia
562465,23236C,6,17/08/2021,13908_Australia
562517,84536B,2,17/08/2021,15719_Australia
562608,17084N,25,20/08/2021,15502_Australia
562608,23175,4,20/08/2021,15502_Australia
562720,23242,2,20/08/2021,15033_Australia
562727,22637,4,21/08/2021,15601_Australia
562768,22663,10,21/08/2021,14127_Australia
562789,22663,10,21/08/2021,14646_Australia
563061,22141,12,23/08/2021,13588_Australia
563098,23236C,12,24/08/2021,14911_Australia
563237,23323,6,27/08/2021,14321_Australia
563376,20719,4,28/08/2021,15752_Australia
563381,23240,6,28/08/2021,15768_Australia
563429,23242,6,28/08/2021,13999_Australia
563929,22795,1,02/09/2021,15031_Australia
564150,21115,2,04/09/2021,14936_Australia
564188,23323,4,04/09/2021,13140_Australia
564189,22795,2,04/09/2021,14769_Australia
564356,84673B,1,05/09/2021,13969_Australia
564544,21263,12,06/09/2021,15663_Australia
564544,21115,2,06/09/2021,15663_Australia
564564,21232,48,07/09/2021,13003_Australia
564630,21135,8,07/09/2021,13644_Australia
564630,23323,6,07/09/2021,13644_Australia
564650,21672,96,07/09/2021,14646_Australia
564654,21098,12,07/09/2021,14911_Australia
564715,21259,1,09/09/2021,14472_Australia
564757,23240,2,11/09/2021,NA_Australia
564837,17084N,20,11/09/2021,NA_Australia
564958,22637,4,12/09/2021,13089_Australia
565116,23376,48,13/09/2021,13089_Australia
565150,17038,100,13/09/2021,14298_Australia
565150,21232,24,13/09/2021,14298_Australia
565234,23009,2,14/09/2021,NA_Australia
565317,23240,12,14/09/2021,12921_Australia
565383,85131B,1,14/09/2021,14096_Australia
565397,23323,2,14/09/2021,14171_Australia
565411,23240,3,16/09/2021,13772_Australia
565419,22141,12,16/09/2021,13808_Australia
565453,22663,10,16/09/2021,15136_Australia
565479,23242,6,17/09/2021,13999_Australia
565541,20719,2,17/09/2021,14159_Australia
565613,21672,24,17/09/2021,13744_Australia
565990,22663,10,20/09/2021,13577_Australia
566035,23077,20,20/09/2021,12839_Australia
566163,23345,12,21/09/2021,12637_Australia
566231,23242,6,23/09/2021,14837_Australia
566258,23240,6,23/09/2021,13124_Australia
566274,82486,1,23/09/2021,13884_Australia
566286,22663,10,23/09/2021,14057_Australia
566307,23376,24,24/09/2021,14307_Australia
566393,23376,24,24/09/2021,13269_Australia
566441,23424,8,24/09/2021,17719_Australia
566483,22141,12,25/09/2021,13880_Australia
566485,23077,20,25/09/2021,13880_Australia
566605,23240,2,25/09/2021,13263_Australia
566720,22794,2,26/09/2021,13634_Australia
566737,23240,6,26/09/2021,13430_Australia
566789,85034B,4,27/09/2021,13134_Australia
566913,21232,12,27/09/2021,17602_Australia
566980,20932,24,28/09/2021,15498_Australia
567076,20996,24,28/09/2021,15505_Australia
567142,22141,6,28/09/2021,14262_Australia
567183,22081,4,30/09/2021,14769_Australia
567183,21259,2,30/09/2021,14769_Australia
567294,23240,6,01/10/2021,13774_Australia
567428,84997A,4,02/10/2021,14911_Australia
567507,37340,18,02/10/2021,NA_Australia
567545,22141,6,03/10/2021,13155_Australia
567628,23376,48,03/10/2021,14060_Australia
567661,22633,1,03/10/2021,13959_Australia
567664,21259,2,03/10/2021,14780_Australia
567818,82486,2,04/10/2021,14395_Australia
567851,23242,6,04/10/2021,15067_Australia
567881,22089,12,04/10/2021,15640_Australia
567972,22619,4,05/10/2021,13949_Australia
568064,22633,12,05/10/2021,14880_Australia
568163,23424,4,07/10/2021,14540_Australia
568177,22633,12,07/10/2021,13536_Australia
568218,23175,4,08/10/2021,13389_Australia
568219,46000M,4,08/10/2021,13468_Australia
568230,23376,24,08/10/2021,12925_Australia
568313,21340,8,08/10/2021,14908_Australia
568340,23240,6,08/10/2021,13866_Australia
568346,85131B,15,08/10/2021,14096_Australia
568378,22141,12,09/10/2021,13035_Australia
568381,23435,10,09/10/2021,14321_Australia
568393,22081,10,09/10/2021,15754_Australia
568397,21259,2,09/10/2021,15745_Australia
568531,22932,1,09/10/2021,16713_Australia
568676,23175,24,10/10/2021,18242_Australia
568797,22089,40,11/10/2021,13694_Australia
568882,21232,12,11/10/2021,12839_Australia
569011,22633,12,12/10/2021,14655_Australia
569089,21263,6,12/10/2021,13764_Australia
569089,85135C,2,12/10/2021,13764_Australia
569227,22633,12,14/10/2021,14051_Australia
569242,22633,12,15/10/2021,14193_Australia
569246,21098,3,15/10/2021,14096_Australia
569246,21232,3,15/10/2021,14096_Australia
569262,22619,4,15/10/2021,14815_Australia
569328,23175,4,15/10/2021,14360_Australia
569363,20719,10,15/10/2021,13297_Australia
569486,23323,4,16/10/2021,15339_Australia
569524,22794,1,16/10/2021,14506_Australia
569545,22141,1,16/10/2021,NA_Australia
569568,23077,20,17/10/2021,12700_Australia
569632,46000M,12,17/10/2021,13808_Australia
569637,23077,20,17/10/2021,15757_Australia
569654,21340,16,17/10/2021,13854_Australia
569767,84997A,4,18/10/2021,14849_Australia
569861,23240,6,18/10/2021,13816_Australia
569888,21340,2,18/10/2021,13049_Australia
570001,23240,6,19/10/2021,14427_Australia
570091,37340,48,19/10/2021,15632_Australia
570098,23435,10,19/10/2021,13169_Australia
570118,82486,2,19/10/2021,13276_Australia
570197,21628,1,19/10/2021,13755_Australia
570271,22633,12,22/10/2021,13756_Australia
570273,23435,20,22/10/2021,13373_Australia
570422,22619,4,22/10/2021,14132_Australia
570488,22619,4,22/10/2021,14096_Australia
570492,21232,12,23/10/2021,14194_Australia
570700,23175,4,24/10/2021,14156_Australia
570883,23376,24,25/10/2021,13477_Australia
571058,23376,24,25/10/2021,13853_Australia
571129,20719,20,26/10/2021,14156_Australia
571185,23435,10,26/10/2021,13047_Australia
571214,22619,4,26/10/2021,14390_Australia
571219,23175,4,26/10/2021,15601_Australia
571286,23323,2,28/10/2021,14547_Australia
571441,22619,1,29/10/2021,14096_Australia
571441,21380,2,29/10/2021,14096_Australia
571457,22663,10,29/10/2021,12963_Australia
571475,23376,12,29/10/2021,15033_Australia
571653,85034B,24,30/10/2021,14298_Australia
571653,37340,48,30/10/2021,14298_Australia
571694,23424,4,30/10/2021,13308_Australia
571701,21672,12,30/10/2021,14639_Australia
571883,21476,2,31/10/2021,14704_Australia
572028,22693,24,01/11/2021,15296_Australia
572035,23345,400,01/11/2021,14646_Australia
572035,20719,100,01/11/2021,14646_Australia
572045,22677,1,01/11/2021,14527_Australia
572066,22141,12,01/11/2021,15159_Australia
572098,23376,24,01/11/2021,15117_Australia
572131,22231,12,02/11/2021,13917_Australia
572213,23240,6,02/11/2021,15358_Australia
572240,22633,12,02/11/2021,13709_Australia
572309,23376,6,04/11/2021,14432_Australia
572309,22795,1,04/11/2021,14432_Australia
572333,22141,6,05/11/2021,13704_Australia
572336,23376,24,05/11/2021,13523_Australia
572338,84661B,6,05/11/2021,15380_Australia
572552,84673B,5,05/11/2021,14096_Australia
572561,23077,20,06/11/2021,13652_Australia
572836,23009,2,07/11/2021,15568_Australia
572852,20996,48,07/11/2021,12879_Australia
573019,21232,12,08/11/2021,15145_Australia
573070,23323,2,08/11/2021,13263_Australia
573078,23077,20,08/11/2021,12839_Australia
573083,23242,2,08/11/2021,13735_Australia
573094,22619,3,08/11/2021,15707_Australia
573311,84926F,4,09/11/2021,14071_Australia
573338,22633,5,11/11/2021,14546_Australia
573340,23376,4,11/11/2021,14159_Australia
573340,20719,2,11/11/2021,14159_Australia
573359,23345,3,11/11/2021,14178_Australia
573364,22141,2,11/11/2021,14710_Australia
573384,82486,2,11/11/2021,15478_Australia
573486,23435,10,12/11/2021,13186_Australia
573551,82486,2,12/11/2021,15044_Australia
573576,85131B,12,12/11/2021,14096_Australia
573576,22260,1,12/11/2021,14096_Australia
573874,23240,6,13/11/2021,13868_Australia
573892,23175,4,13/11/2021,14911_Australia
573915,22794,1,13/11/2021,15511_Australia
573945,23323,6,14/11/2021,17663_Australia
574298,85131B,1,15/11/2021,NA_Australia
574310,23323,3,15/11/2021,13467_Australia
574328,22089,24,16/11/2021,13081_Australia
574328,23240,12,16/11/2021,13081_Australia
574328,20719,10,16/11/2021,13081_Australia
574342,23435,20,16/11/2021,13447_Australia
574477,23323,1,16/11/2021,15453_Australia
574521,23242,6,16/11/2021,15358_Australia
574657,20719,3,18/11/2021,13772_Australia
574660,22081,1,18/11/2021,15407_Australia
574663,22141,2,18/11/2021,13527_Australia
574672,22141,1,18/11/2021,13532_Australia
574678,23345,12,18/11/2021,13365_Australia
574710,22141,2,18/11/2021,15427_Australia
574864,22633,4,19/11/2021,14387_Australia
574868,22693,24,19/11/2021,13824_Australia
574883,23424,2,19/11/2021,14623_Australia
574883,22693,48,19/11/2021,14623_Australia
575040,23242,6,20/11/2021,13381_Australia
575199,84997A,4,21/11/2021,12921_Australia
575258,23077,20,21/11/2021,13623_Australia
575586,20719,10,22/11/2021,12981_Australia
575589,22141,6,22/11/2021,14262_Australia
575607,20719,1,22/11/2021,14096_Australia
575744,82486,4,23/11/2021,14035_Australia
575838,22677,10,23/11/2021,13999_Australia
575840,23242,6,23/11/2021,13137_Australia
575854,85034B,24,23/11/2021,14125_Australia
575905,22089,6,23/11/2021,13732_Australia
576062,23240,12,25/11/2021,12867_Australia
576076,21098,2,25/11/2021,14382_Australia
576078,22633,6,25/11/2021,14432_Australia
576228,22141,2,26/11/2021,15033_Australia
576236,21628,1,26/11/2021,13755_Australia
576339,85034B,5,26/11/2021,14096_Australia
576339,84997A,1,26/11/2021,14096_Australia
576339,20719,4,26/11/2021,14096_Australia
576538,20996,24,27/11/2021,14725_Australia
576560,23242,3,27/11/2021,12877_Australia
576564,82486,12,27/11/2021,15311_Australia
576593,22641,1,27/11/2021,15720_Australia
576774,22619,8,28/11/2021,13131_Australia
576783,23435,10,28/11/2021,13447_Australia
576830,22619,3,28/11/2021,14898_Australia
576830,22795,3,28/11/2021,14898_Australia
577034,21380,1,29/11/2021,12847_Australia
577106,22633,1,29/11/2021,14456_Australia
577359,22141,2,30/11/2021,14903_Australia
577504,20719,4,02/12/2021,14159_Australia
577535,22141,2,02/12/2021,14071_Australia
577552,20719,10,02/12/2021,14282_Australia
577691,82486,2,03/12/2021,14587_Australia
577711,84997A,1,03/12/2021,15527_Australia
577742,21098,1,03/12/2021,13755_Australia
577748,23240,24,03/12/2021,15159_Australia
577790,82486,4,03/12/2021,14198_Australia
577794,23697,24,03/12/2021,14030_Australia
577905,85034B,24,04/12/2021,15497_Australia
578053,22141,6,04/12/2021,14422_Australia
578270,22141,2,05/12/2021,14096_Australia
578304,82486,8,05/12/2021,13831_Australia
578305,23009,2,05/12/2021,14088_Australia
578317,22141,6,05/12/2021,15398_Australia
578317,23376,24,05/12/2021,15398_Australia
578322,22141,6,05/12/2021,12948_Australia
578364,23697,12,06/12/2021,13588_Australia
578365,21135,288,06/12/2021,15482_Australia
578488,22795,2,06/12/2021,12784_Australia
578510,23376,4,06/12/2021,14056_Australia
578519,23240,1,06/12/2021,14591_Australia
578541,35810B,4,06/12/2021,14277_Australia
578541,21672,6,06/12/2021,14277_Australia
578677,22633,6,06/12/2021,15750_Australia
578921,84997A,1,09/12/2021,13596_Australia
578935,22663,2,09/12/2021,15351_Australia
578953,22231,1,09/12/2021,13546_Australia
579125,22633,12,10/12/2021,14215_Australia
579125,21672,12,10/12/2021,14215_Australia
579145,84661B,30,10/12/2021,14597_Australia
579149,22619,4,10/12/2021,13844_Australia
579196,85131B,12,10/12/2021,14096_Australia
579196,21340,1,10/12/2021,14096_Australia
579196,20996,1,10/12/2021,14096_Australia
579196,21115,1,10/12/2021,14096_Australia
579446,16054,36,11/12/2021,14121_Australia
579472,21135,1,11/12/2021,13521_Australia
579491,21098,5,11/12/2021,14723_Australia
579491,22633,1,11/12/2021,14723_Australia
579522,22795,2,12/12/2021,14432_Australia
579539,23175,4,12/12/2021,14911_Australia
580024,20996,24,13/12/2021,15172_Australia
580092,22141,3,13/12/2021,13969_Australia
580097,82486,12,13/12/2021,14216_Australia
580256,85135C,1,14/12/2021,14688_Australia
580296,23345,3,14/12/2021,13780_Australia
580307,21098,1,14/12/2021,12970_Australia
580317,23323,12,14/12/2021,13458_Australia
580362,22795,2,14/12/2021,13884_Australia
580364,23077,20,14/12/2021,13309_Australia
580550,21115,8,17/12/2021,13126_Australia
580635,22795,1,17/12/2021,14649_Australia
580647,23697,12,17/12/2021,14083_Australia
580647,21098,2,17/12/2021,14083_Australia
580667,22795,2,17/12/2021,15031_Australia
580668,21115,1,17/12/2021,13685_Australia
580691,20996,24,17/12/2021,13790_Australia
580727,22141,3,17/12/2021,14096_Australia
580973,21098,12,18/12/2021,12820_Australia
580997,21259,2,18/12/2021,15023_Australia
581003,84661B,12,19/12/2021,14911_Australia
581122,20719,20,19/12/2021,12839_Australia
581138,20719,100,19/12/2021,12950_Australia
581164,22633,2,19/12/2021,14395_Australia
581495,22633,18,21/12/2021,14051_Australia
536392,22619,4,13/01/2022,13705_Australia
536398,22637,8,13/01/2022,13448_Australia
536520,22633,3,13/01/2022,14729_Australia
536522,21664,1,13/01/2022,15012_Australia
536544,22081,1,13/01/2022,NA_Australia
536577,21232,144,13/01/2022,13777_Australia
537042,21259,1,17/01/2022,13838_Australia
537224,22141,1,17/01/2022,13174_Australia
537262,22795,1,18/01/2022,15039_Australia
537371,22633,6,18/01/2022,15028_Australia
537381,22633,20,18/01/2022,14667_Australia
537399,22141,1,18/01/2022,13030_Australia
537689,10125,20,20/01/2022,15750_Australia
537759,22795,2,20/01/2022,13126_Australia
537765,20996,7,20/01/2022,14606_Australia
537769,20996,1,20/01/2022,15021_Australia
537771,21232,24,20/01/2022,15498_Australia
537802,22637,6,20/01/2022,13455_Australia
537808,21098,72,20/01/2022,15311_Australia
537890,22932,6,21/01/2022,15358_Australia
538255,22794,2,22/01/2022,14911_Australia
538374,22663,1,24/01/2022,14159_Australia
538374,21232,3,24/01/2022,14159_Australia
538507,21098,6,24/01/2022,15547_Australia
538518,21644,4,24/01/2022,14505_Australia
538634,21340,1,25/01/2022,14085_Australia
538849,85135C,1,26/01/2022,14415_Australia
538903,21115,2,27/01/2022,13496_Australia
539088,22693,96,28/01/2022,13093_Australia
539098,90057,24,28/01/2022,14841_Australia
539299,22794,2,28/01/2022,14180_Australia
539321,21098,2,28/01/2022,14723_Australia
539470,21232,2,31/01/2022,14472_Australia
540953,21380,2,24/01/2021,14587_Austria
541214,22693,24,26/01/2021,15570_Austria
542625,21232,1,12/02/2021,NA_Austria
545661,10125,20,16/03/2021,15358_Austria
553162,85131B,1,25/05/2021,NA_Austria
566171,22633,1,21/09/2021,18118_Austria
566913,23323,3,27/09/2021,17602_Austria
569898,22795,1,18/10/2021,NA_Austria
580632,21259,3,17/12/2021,16360_Austria
536693,22633,6,14/01/2022,17850_Austria
546892,22089,2,29/03/2021,NA_Bahrain
552000,84559A,3,17/05/2021,NA_Bahrain
539835,20719,10,03/01/2021,16477_Belgium
540043,22794,1,16/01/2021,15164_Belgium
540278,21232,4,18/01/2021,15719_Belgium
540349,22663,10,18/01/2021,15379_Belgium
540700,21577,12,23/01/2021,12393_Belgium
541002,21380,6,25/01/2021,12951_Belgium
541086,85135C,2,25/01/2021,16503_Belgium
541206,20719,100,26/01/2021,14646_Belgium
541215,22794,4,26/01/2021,14329_Belgium
541280,22693,24,29/01/2021,15296_Belgium
541565,21259,1,31/01/2021,14527_Belgium
541596,84536B,5,31/01/2021,17602_Belgium
542401,22619,1,08/02/2021,14541_Belgium
542778,21781,1,13/02/2021,14496_Belgium
542898,84536B,1,13/02/2021,16110_Belgium
543045,22089,6,15/02/2021,14309_Belgium
543272,22663,5,18/02/2021,14810_Belgium
543292,22693,48,19/02/2021,14534_Belgium
543292,21380,1,19/02/2021,14534_Belgium
543369,22794,2,19/02/2021,16255_Belgium
543447,22858,12,20/02/2021,16265_Belgium
543804,21672,12,25/02/2021,16434_Belgium
543820,21232,4,25/02/2021,16084_Belgium
543820,22795,4,25/02/2021,16084_Belgium
543842,22693,1056,26/02/2021,16333_Belgium
544189,46000M,20,28/02/2021,15867_Belgium
544479,21672,96,05/03/2021,14646_Belgium
544479,20719,100,05/03/2021,14646_Belgium
544637,21380,12,06/03/2021,16546_Belgium
544675,21672,12,06/03/2021,16011_Belgium
544777,21672,96,07/03/2021,15311_Belgium
544944,84997A,3,09/03/2021,14541_Belgium
545183,21340,1,12/03/2021,15570_Belgium
545232,21380,6,13/03/2021,15676_Belgium
545308,21232,2,13/03/2021,14656_Belgium
